Speaker,Topic,Score,AtDebate,Speech,Score
Trump,War in Ukraine,-0.9536,TRUE,"Let me just tell you about world leaders. Viktor Orban, one of the most respected men -- they call him a strong man. He's a tough person. Smart. Prime Minister of Hungary. They said why is the whole world blowing up? Three years ago it wasn't. Why is it blowing up? He said because you need Trump back as president. They were afraid of him. China was afraid. And I don't like to use the word afraid but I'm just quoting him. China was afraid of him. North Korea was afraid of him. Look at what's going on with North Korea, by the way. He said Russia was afraid of him. I ended the Nord Stream 2 pipeline and Biden put it back on day one but he ended the XL pipeline. The XL pipeline in our country. He ended that. But he let the Russians build a pipeline going all over Europe and heading into Germany. The biggest pipeline in the world. Look, Viktor Orban said it. He said the most respected, most feared person is Donald Trump. We had no problems when Trump was president. But when this weak pathetic man that you saw at a debate just a few months ago that if he weren't in that debate he'd be running instead of her, she got no votes, he got 14 million votes, what you did, you talk about a threat to democracy. He got 14 million votes and they threw him out of office. And you know what? I'll give you a little secret. He hates her. He can't stand her.",-0.9536
Trump,None,0.5499,TRUE,"But he had 14 million votes. They threw them out. She got zero votes. And when she ran, she was the first one to leave because she failed. And now she's running. I don't understand it but I'm okay with it – because I think we're going to do pretty well.",0.5499
Harris,War in Middle East,0.6166,TRUE,"Well, let's understand how we got here. On Oct. 7, Hamas, a terrorist organization, slaughtered 1,200 Israelis. Many of them young people who were simply attending a concert. Women were horribly raped. And so absolutely, I said then, I say now, Israel has a right to defend itself. We would. And how it does so matters. Because it is also true far too many innocent Palestinians have been killed. Children, mothers. What we know is that this war must end. It must when, end immediately, and the way it will end is we need a cease-fire deal and we need the hostages out. And so we will continue to work around the clock on that. Work around the clock also understanding that we must chart a course for a two-state solution. And in that solution, there must be security for the Israeli people and Israel and in equal measure for the Palestinians. But the one thing I will assure you always, I will always give Israel the ability to defend itself, in particular as it relates to Iran and any threat that Iran and its proxies pose to Israel. But we must have a two-state solution where we can rebuild Gaza, where the Palestinians have security, self-determination and the dignity they so rightly deserve.",0.6166
Trump,War in Ukraine,-0.9913,TRUE,"If I were president it would have never started. If I were president Russia would have never, ever -- I know Putin very well. He would have never -- and there was no threat of it either, by the way, for four years. Have gone into Ukraine and killed millions of people when you add it up. Far worse than people understand what's going on over there. But when she mentions about Israel all of a sudden -- she hates Israel. She wouldn't even meet with Netanyahu when he went to Congress to make a very important speech. She refused to be there because she was at a sorority party of hers. She wanted to go to the sorority party. She hates Israel. If she's president, I believe that Israel will not exist within two years from now. And I've been pretty good at predictions. And I hope I'm wrong about that one. She hates Israel. At the same time in her own way she hates the Arab population because the whole place is going to get blown up, Arabs, Jewish people, Israel. Israel will be gone. It would have never happened. Iran was broke under Donald Trump. Now Iran has $300 billion because they took off all the sanctions that I had. Iran had no money for Hamas or Hezbollah or any of the 28 different spheres of terror. And they are spheres of terror. Horrible terror. They had no money. It was a big story, and you know it. You covered it. Very well, actually. They had no money for terror. They were broke. Now they're a rich nation. And now what they're doing is spreading that money around. Look at what's happening with the Houthis and Yemen. Look at what's going on in the Middle East. This would have never happened. I will get that settled and fast. And I'll get the war with Ukraine and Russia ended. If I'm President-Elect, I'll get it done before even becoming president.",-0.9913
Harris,War in Ukraine,0.9581,TRUE,"That's absolutely not true. I have my entire career and life supported Israel and the Israeli people. He knows that. He's trying to again divide and distract from the reality, which is it is very well known that Donald Trump is weak and wrong on national security and foreign policy. It is well known that he admires dictators, wants to be a dictator on day one according to himself. It is well known that he said of Putin that he can do whatever the hell he wants and go into Ukraine. It is well known when that he said when Russia went into Ukraine it was brilliant. It is well known he exchanged love letters with Kim Jong un. And it is absolutely well known that these dictators and autocrats are rooting for you to be president again because they're so clear, they can manipulate you with flattery and favors. And that is why so many military leaders who you have worked with have told me you are a disgrace. That is why we understand that we have to have a president who is not consistently weak and wrong on national security including the importance of upholding and respecting in highest regard our military.",0.9581
Trump,War in Ukraine,-0.9382,TRUE,"They're the ones -- and she's the one that caused it, that's weak on national security by allowing every nation last month for the year, 168 different countries sending people into our country. Their crime rates are way down. Putin endorsed her last week. Said I hope she wins. And I think he meant it. Because what he's gotten away with is absolutely incredible. It wouldn't have happened with me. The leaders of other countries think that they're weak and incompetent. And they are. They're grossly incompetent. And I just ask one question. Why does Biden go in and kill the Keystone pipeline and approve the single biggest deal that Russia's ever made, Nordstream 2, the biggest pipeline anywhere in the world going to Germany and all over Europe? Because they're weak and they're ineffective. And Biden, by the way --",-0.9382
Trump,None,0.0,TRUE,Gets paid a lot of money --,0.0
Trump,Opposing Candidate,-0.9877,TRUE,"I want the war to stop. I want to save lives that are being uselessly -- people being killed by the millions. It's the millions. It's so much worse than the numbers that you're getting, which are fake numbers. Look, we're in for 250 billion or more because they don't ask Europe, which is a much bigger beneficiary to getting this thing done than we are. They're in for $150 billion less because Biden and you don't have the courage to ask Europe like I did with NATO. They paid billions and billions, hundreds of billions of dollars when I said either you pay up or we're not going to protect you anymore. So that may be one of the reasons they don't like me as much as they like weak people. But you take a look at what's happening. We're in for 250 to 275 billion. They're into 100 to 150. They should be forced to equalize. With that being said, I want to get the war settled. I know Zelenskyy very well and I know Putin very well. I have a good relationship. And they respect your president. Okay? They respect me. They don't respect Biden. How would you respect him? Why? For what reason? He hasn't even made a phone call in two years to Putin. Hasn't spoken to anybody. They don't even try and get it. That is a war that's dying to be settled. I will get it settled before I even become president. If I win, when I'm President-Elect, and what I'll do is I'll speak to one, I'll speak to the other, I'll get them together. That war would have never happened. And in fact when I saw Putin after I left, unfortunately left because our country has gone to hell, but after I left when I saw him building up soldiers, he did it after I left, I said oh, he must be negotiating. It must be a good strong point of negotiation. Well, it wasn't because Biden had no idea how to talk to him. He had no idea how to stop it. And now you have millions of people dead and it's only getting worse and it could lead to World War 3. Don't kid yourself, David. We're playing with World War 3. And we have a president that we don't even know if he's -- where is our president? We don't even know if he's a president.",-0.9877
Trump,None,0.1901,TRUE,"They threw him out of a campaign like a dog. We don't even know, is he our president? But we have a president...",0.1901
Trump,None,-0.2924,TRUE,...that doesn't know he's alive.,-0.2924
Trump,None,-0.4263,TRUE,I think it's in the U.S. best interest to get this war finished and just get it done. All right. Negotiate a deal. Because we have to stop all of these human lives from being destroyed.,-0.4263
Harris,War in Ukraine,0.9864,TRUE,"Well, first of all, it's important to remind the former president you're not running against Joe Biden, you're running against me. I believe the reason that Donald Trump says that this war would be over within 24 hours is because he would just give it up. And that's not who we are as Americans. Let's understand what happened here. I actually met with Zelenskyy a few days before Russia invaded, tried through force to change territorial boundaries to defy one of the most important international rules and norms, which is the importance of sovereignty and territorial integrity. And I met with President Zelenskyy. I shared with him American intelligence about how he could defend himself. Days later I went to NATO's eastern flank, to Poland and Romania. And through the work that I and others did we brought 50 countries together to support Ukraine in its righteous defense. And because of our support, because of the air defense, the ammunition, the artillery, the javelins, the Abrams tanks that we have provided, Ukraine stands as an independent and free country. If Donald Trump were president, Putin would be sitting in Kyiv right now. And understand what that would mean. Because Putin's agenda is not just about Ukraine. Understand why the European allies and our NATO allies are so thankful that you are no longer president and that we understand the importance of the greatest military alliance the world has ever known, which is NATO. And what we have done to preserve the ability of Zelenskyy and the Ukrainians to fight for their Independence. Otherwise, Putin would be sitting in Kyiv with his eyes on the rest of Europe. Starting with Poland. And why don't you tell the 800,000 Polish Americans right here in Pennsylvania how quickly you would give up for the sake of favor and what you think is a friendship with what is known to be a dictator who would eat you for lunch.",0.9864
Trump,None,0.0,TRUE,I have to respond.,0.0
Trump,None,0.1232,TRUE,"Putin would be sitting in Moscow and he wouldn't have lost 300,000 men and women. But he would have been sitting in Moscow",0.1232
Harris,None,0.0,TRUE,(inaudible),0.0
Trump,None,-0.9866,TRUE,"Quiet, please. He would have been sitting in Moscow much happier than he is right now. But eventually, you know, he's got a thing that other people don't have. He's got nuclear weapons. They don't ever talk about that. He's got nuclear weapons. Nobody ever thinks about that. And eventually uh maybe he'll use them. Maybe he hasn't been that threatening. But he does have that. Something we don't even like to talk about. Nobody likes to talk about it. But just so you understand, they sent her to negotiate peace before this war started. Three days later he went in and he started the war because everything they said was weak and stupid. They said the wrong things. That war should have never started. She was the emissary. They sent her in to negotiate with Zelenskyy and Putin. And she did and the war started three days later.",-0.9866
Trump,War in Ukraine,-0.8792,TRUE,"And that's the kind of talent we have with her. She's worse than Biden. In my opinion, I think he's the worst president in the history of our country. She goes down as the worst vice president in the history of our country. But let me tell you something. She is a horrible negotiator. They sent her in to negotiate. As soon as they left Putin did the invasion.",-0.8792
Harris,None,0.9749,TRUE,"Yet again, I said it at the beginning of this debate, you're going to hear a bunch of lies coming from this fella. And that is another one. When I went to meet with President Zelenskyy, I've now met with him over five times. The reality is, it has been about standing as America always should, as a leader upholding international rules and norms. As a leader who shows strength, understanding that the alliances we have around the world are dependent on our ability to look out for our friends and not favor our enemies because you adore strongmen instead of caring about democracy. And that is very much what is at stake here. The President of the United States is commander-in-chief. And the American people have a right to rely on a president who understands the significance of America's role and responsibility in terms of ensuring that there is stability and ensuring we stand up for our principles and not sell them for the benefit of personal flattery.",0.9749
Trump,None,0.0,TRUE,"David, one thing.",0.0
Trump,Opposing Candidate,0.341,TRUE,"Secretary General Stoltenberg said Trump did the most amazing thing I've ever seen, he got these countries, the 28 countries at the time, to pay up. He said I've never seen -- he's the head of NATO. He said I've never seen -- for years we were paying almost all of NATO. We were being ripped off by European nations both on trade and on NATO. I got them to pay up by saying one of the statements you made before, if you don't pay we're not going to protect you.",0.341
Trump,Economy,0.0,TRUE,Otherwise we would've never gotten it. He said it was one of the most incredible jobs that he's ever seen done.,0.0
Harris,Economy,-0.9861,TRUE,"Well, I will tell you, I agreed with President Biden's decision to pull out of Afghanistan. Four presidents said they would, and Joe Biden did. And as a result, America's taxpayers are not paying the $300 million a day we were paying for that endless war. And as of today, there is not one member of the United States military who is in active duty in a combat zone in any war zone around the world, the first time this century. But let's understand how we got to where we are. Donald Trump when he was president negotiated one of the weakest deals you can imagine. He calls himself a dealmaker. Even his national security adviser said it was a weak, terrible deal. And here's how it went down. He bypassed the Afghan government. He negotiated directly with a terrorist organization called the Taliban. The negotiation involved the Taliban getting 5,000 terrorists, Taliban terrorists released.",-0.9861
Harris,None,0.9604,TRUE,"And get this -- no, get this. And the president at the time invited the Taliban to Camp David. A place of storied significance for us as Americans, a place where we honor the importance of American diplomacy, where we invite and receive respected world leaders. And this former president as president invited them to Camp David because he does not again appreciate the role and responsibility of the President of the United States to be commander in chief with a level of respect. And this gets back to the point of how he has consistently disparaged and demeaned members of our military, fallen soldiers, and the work that we must do to uphold the strength and the respect of the United States of America around the world.",0.9604
Trump,None,0.9763,TRUE,"Yeah, thank you. So if you take a look at that period of time, the Taliban was killing our soldiers, a lot of them, with snipers. And I got involved with the Taliban because the Taliban was doing the killing. That's the fighting force within Afghanistan. They don't bother doing that because you know, they deal with the wrong people all the time. But I got involved. And Abdul is the head of the Taliban. He is still the head of the Taliban. And I told Abdul don't do it anymore, you do it anymore you're going to have problems. And he said why do you send me a picture of my house? I said you're going to have to figure that out, Abdul. And for 18 months we had nobody killed. We did have an agreement negotiated by Mike Pompeo. It was a very good agreement. The reason it was good, it was -- we were getting out. We would have been out faster than them, but we wouldn't have lost the soldiers. We wouldn't have left many Americans behind. And we wouldn't have left -- we wouldn't have left $85 billion worth of brand new beautiful military equipment behind. And just to finish, they blew it. The agreement said you have to do this, this, this, this, this, and they didn't do it. They didn't do it. The agreement was, was terminated by us because they didn't do what they were supposed to do.",0.9763
Trump,War in Ukraine,-0.9184,TRUE,"And these people did the worst withdrawal and in my opinion the most embarrassing moment in the history of our country. And by the way, that's why Russia attacked Ukraine. Because they saw how incompetent she and her boss are.",-0.9184
Trump,None,-0.823,TRUE,I don't. And I don't care. I don't care what she is. I don't care. You make a big deal out of something. I couldn't care less. Whatever she wants to be is okay with me.,-0.823
Trump,None,0.4215,TRUE,"I don't know. I don't know. All I can say is I read where she was not Black, that she put out. And, I'll say that. And then I read that she was black. And that's okay. Either one was okay with me. That's up to her. That's up to her.",0.4215
Harris,Opposing Candidate,0.9535,TRUE,"I think it's – I mean honestly, I think it's a tragedy that we have someone who wants to be president who has consistently over the course of his career attempted to use race to divide the American people. You know, I do believe that the vast majority of us know that we have so much more in common than what separates us. And we don't want this kind of approach that is just constantly trying to divide us, and especially by race. And let's remember how Donald Trump started. He was a, a, a—land, he owned land, he owned buildings, and he was investigated because he refused to rent property to Black families. Let's remember, this is the same individual who took out a full-page ad in The New York Times calling for the execution of five young Black and Latino boys who were innocent, the Central Park Five. Took out a full-page ad calling for their execution. This is the same individual who spread birther lies about the first Black President of the United States. And I think the American people want better than that. Want better than this. Want someone who understands as I do, I travel our country, we see in each other a friend. We see in each other a neighbor. We don't want a leader who is constantly trying to have Americans point their fingers at each other. I meet with people all the time who tell me ""Can we please just have discourse about how we're going to invest in the aspirations and the ambitions and the dreams of the American people?"" Knowing that regardless of people's color or the language their grandmother speaks we all have the same dreams and aspirations and want a president who invests in those, not in hate and division.",0.9535
Trump,Economy,-0.944,TRUE,"This is the most divisive presidency in the history of our country. There's never been anything like it. They're destroying our country. And they come up with things like what she just said going back many, many years when a lot of people including Mayor Bloomberg agreed with me on the Central Park Five. They admitted -- they said, they pled guilty. And I said, well, if they pled guilty they badly hurt a person, killed a person ultimately. And if they pled guilty -- then they pled we're not guilty. But this is a person that has to stretch back years, 40, 50 years ago because there's nothing now. I built one of the greatest economies in the history of the world and I'm going to build it again. It's going to be bigger, better and stronger. But they're destroying our economy. They have no idea what a good economy is. Their oil policies -- every single policy -- and remember this. She is Biden. She's trying to get away from Biden. I don't know the gentleman, she says. She is Biden. The worst inflation we've ever had. A horrible economy because inflation has made it so bad and she can't get away with that.",-0.944
Harris,Economy,0.9313,TRUE,"I want to respond to that, though. I want to just respond briefly. Clearly, I am not Joe Biden, and I am certainly not Donald Trump. And what I do offer is a new generation of leadership for our country. One who believes in what is possible, one who brings a sense of optimism about what we can do instead of always disparaging the American people. I believe in what we can do to strengthen our small businesses, which is why I have a plan. Let's talk about our plans. And, and let's compare the plans. I have a plan to give startup businesses $50,000 tax deduction, to pursue their ambitions, their innovation, their ideas, their hard work. I have a plan. $6,000 for young families for the first year of your child's life. To help you in that most critical stage of your child's development. I have a plan that is about allowing people to be able to pursue what has been fleeting in terms of the American dream by offering help with down payment of $25,000, down payment assistance for first-time home buyers. That's the kind of conversation I believe, David, that people really want tonight as opposed to a conversation that is constantly about belittling and name-calling. Let's turn the page and move forward.",0.9313
Trump,Criminal Justice,-0.7695,TRUE,She is destroying our country. She has a plan to defund the police. She has a plan to confiscate everybody's gun. She has a plan to not allow fracking in Pennsylvania or anywhere else. That's what her plan is until just recently.,-0.7695
Harris,None,0.0,TRUE,The former president has said something twice and I need to respond too. I just need to respond one time to what he has said multiple times.,0.0
Trump,Health Care,0.9937,TRUE,"Obamacare was lousy health care. Always was. It's not very good today. And what I said, that if we come up with something, we are working on things, we're going to do it and we're going to replace it. But remember this. I inherited Obamacare because Democrats wouldn't change it. They wouldn't vote for it. They were unanimous. They wouldn't vote to change it. If they would have done that, we would have had a much better plan than Obamacare. But the Democrats came up, they wouldn't vote for it. I had a choice to make when I was president, do I save it and make it as good as it can be? Never going to be great. Or do I let it rot? And I felt I had an obligation, even though politically it would have been good to just let it rot and let it go away. I decided -- and I told my people, the top people, and they're very good people -- I have a lot of good people in this -- that administration. We read about the bad ones. We had some real bad ones too. And so do they. They have really bad ones. The difference is they don't get rid of them. But let me just explain. I had a choice to make do I save it and make it as good as it can be or let it rot? And I saved it. I did the right thing. But it's still never going to be great. And it's too expensive for people. And what we will do is we're looking at different plans. If we can come up with a plan that's going to cost our people, our population less money and be better health care than Obamacare, then I would absolutely do it. But until then I'd run it as good as it can be run.",0.9937
Trump,None,0.5927,TRUE,I have concepts of a plan. I'm not president right now. But if we come up with something I would only change it if we come up with something better and less expensive. And there are concepts and options we have to do that. And you'll be hearing about it in the not-too-distant future.,0.5927
Harris,Opposing Candidate,0.9958,TRUE,"Well, first of all, I absolutely support and over the last four years as vice president private health care options. But what we need to do is maintain and grow the Affordable Care Act. But I, I'll get to that, linsey. I just need to respond to a previous point that the former president has made. I've made very clear my position on fracking. And then this business about taking everyone's guns away. Tim Walz and I are both gun owners. We're not taking anybody's guns away. So stop with the continuous lying about this stuff. As it relates to the Affordable Care Act, understand, just look at the history to know where people stand. When Donald Trump was president, 60 times he tried to get rid of the Affordable Care Act. 60 times. I was a senator at the time. When, I will never forget the early morning hours when it was up for a vote in the United States Senate and the late great John McCain, who you have disparaged as being – uh, you don't like him, you said at the time because he got caught, he was an American hero. The late great John McCain, I will never forget that night. Walked onto the Senate floor and said no, you don't. No, you don't. No, you don't get rid of the Affordable Care Act. You have no plan. And what the Affordable Care Act has done is eliminate the ability of insurance companies to deny people with pre-existing conditions. I don't have to tell the people watching tonight, you remember what that was like? Remember when an insurance company could deny if a child had asthma, if someone was a breast cancer survivor, if a grandparent had diabetes? And thankfully, as I've been vice president and we over the last four years have strengthened the Affordable Care Act, we have allowed for the first time Medicare to negotiate drug prices on behalf of you the American people. Donald Trump said he was going to allow Medicare to negotiate dr, drug prices. He never did. We did. And now we have capped the cost of insulin at $35 a month. Since I've been vice president we have capped the cost of prescription medication for seniors at $2,000 a year. And when I am president we will do that for all people understanding that the value I bring to this is that access to health care should be a right and not just a privilege of those who can afford it. And the plan has to be to strengthen the Affordable Care Act, not get rid of it, (in audible) in terms of where Donald Trump stands on that.",0.9958
Trump,Health Care,-0.2003,TRUE,"She made a mistake. Number one, John McCain fought Obamacare for ten years. But it wasn't only him. It was, All of the Democrats that kept it going. And you know what? We could do much better than Obamacare. Much less money. But she won't improve private insurance for people. Private, medical insurance. That's another thing she doesn't want",-0.2003
Trump,Health Care,-0.0258,TRUE,People are paying privately for insurance that have worked hard and made money and they want to have private. She wants everybody to be on government insurance where you wait six months for an operation that you need immediately.,-0.0258
Harris,Economy,0.9674,TRUE,"Well, the former president had said that climate change is a hoax. And what we know is that it is very real. You ask anyone who lives in a state who has experienced these extreme weather occurrences who now is either being denied home insurance or is being jacked up. You ask anybody who has been the victim of what that means in terms of losing their home, having nowhere to go. We know that we can actually deal with this issue. The young people of America care deeply about this issue. And I am proud that as vice president over the last four years, we have invested a trillion dollars in a clean energy economy while we have also increased domestic gas production to historic levels. We have created over 800,000 new manufacturing jobs while I have been vice president. We have invested in clean energy to the point that we are opening up factories around the world. Donald Trump said he was going to create manufacturing jobs. He lost manufacturing jobs. And I'm also proud to have the endorsement of the United Auto Workers and Shawn Fain, who also know that part of building a clean energy economy includes investing in American-made products, American automobiles. It includes growing what we can do around American manufacturing and opening up auto plants, not closing them like what happened under Donald Trump.",0.9674
Trump,Economy,-0.4002,TRUE,"That didn't happen under Donald Trump. Let me just tell you, they lost 10,000 manufacturing jobs this last month. It's going -- they're all leaving. They're building big auto plants in Mexico. In many cases owned by China. They're building these massive plants, and they think they're going to sell their cars into the United States because of these people. What they have given to China is unbelievable. But we're not going to let that. We'll put tariffs on those cars so they can't come into our country. Because they will kill the United Auto Workers and any auto worker, whether it's in Detroit or South Carolina or any other place. What they've done to business and manufacturing in this country is horrible. We have nothing because they refuse -- you know, Biden doesn't go after people because supposedly China paid him millions of dollars. He's afraid to do it. Between him and his son. They get all this money from Ukraine. They get all this money from all of these different countries. And then you wonder why is he so loyal to this one, that one Ukraine, China? Why is he? Why did he get 3 1/2 million dollars from the mayor of Moscow's wife? Why did he get -- why did she pay him 3 1/2 million dollars? This is a crooked administration, and they're selling our country down the tubes.",-0.4002
Trump,None,0.3612,TRUE,Thank you.,0.3612
Harris,Economy,0.9939,TRUE,"So I think you've heard tonight two very different visions for our country. One that is focused on the future and the other that is focused on the past. And an attempt to take us backward. But we're not going back. And I do believe that the American people know we all have so much more in common than what separates us and we can chart a new way forward. And a vision of that includes having a plan, understanding the aspirations, the dreams, the hopes, the ambition of the American people, which is why I intend to create an opportunity economy, investing in small businesses, in new families, in what we can do around protecting seniors, what we can do that is about giving hard-working folks a break in bringing down the cost of living. I believe in what we can do together that is about sustaining America's standing in the world and ensuring we have the respect that we so rightly deserve including respecting our military and ensuring we have the most lethal fighting force in the world. I will be a president that will protect our fundamental rights and freedoms including the right of a woman to make decisions about her own body and not have her government tell her what to do. I'll tell you, I started my career as a prosecutor. I was a D.A. I was an attorney general. A United States senator. And now vice president. I've only had one client. The people. And I'll tell you, as a prosecutor I never asked a victim or a witness are you a Republican or a Democrat. The only thing I ever asked them, are you okay? And that's the kind of president we need right now. Someone who cares about you and is not putting themselves first. I intend to be a president for all Americans and focus on what we can do over the next 10 and 20 years to build back up our country by investing right now in you the American people.",0.9939
Trump,Economy,-0.9839,TRUE,"So, she just started by saying she's going to do this, she's going to do that, she's going to do all these wonderful things. Why hasn't she done it? She's been there for 3 1/2 years. They've had 3 1/2 years to fix the border. They've had 3 1/2 years to create jobs and all the things we talked about. Why hasn't she done it? She should leave right now, go down to that beautiful white house, go to the capitol, get everyone together and do the things you want to do. But you haven't done it. And you won't do it. Because you believe in things that the American people don't believe in. You believe in things like we're not going to frack. We're not going to take fossil fuel. We're not going to do, things that are going to make this country strong, whether you like it or not. Germany tried that and within one year they were back to building normal energy plants. We're not ready for it. We can't sacrifice our country for the sake of bad vision. But I just ask one simple question. Why didn't she do it? We're a failing nation. We're a nation that's in serious decline. We're being laughed at all over the world. All over the world, they laugh, I know the leaders very well. They're coming to see me. They call me. We're laughed at all over the world. They don't understand what happened to us as a nation. We're not a leader. We don't have any idea what's going on. We have wars going on in the Middle East. We have wars going on with Russia and Ukraine. We're going to end up in a third World War. And it will be a war like no other because of nuclear weapons, the power of weaponry. I rebuilt our entire military. She gave a lot of it away to the Taliban. She gave it to Afghanistan. What these people have done to our country, and maybe toughest of all is allowing millions of people to come into our country, many of them are criminals, and they're destroying our country. The worst president, the worst vice president in the history of our country.",-0.9839
Trump,None,0.992,FALSE,"Thank you very much, everybody. This is an honor. What a crowd this is. Look where that crowd goes. This is a big crowd. A very special hello to Wisconsin. We really appreciate it. We’ve had great success here. We’ve had tremendous success, and I’m thrilled to be back in this incredible state with the thousands of proud, hardworking American patriots, which is what you are. If you can believe it, 59 days from now, we are going to win Wisconsin. We are going to defeat Comrade Kamala Harris, and we are going to win the White House, that gorgeous, beautiful White House. We’re going to win it, and we’re going to turn this country around because this country is a failing nation right now. It’s a laughingstock all over the world.",0.992
Trump,None,-0.8225,FALSE,"(00:53)
Over the past four years, our country has seen the sickness and corruption of the Washington swamp exposed like never before. You’ve seen it. You’ve been watching it. You watch those millions and millions of people pour into our country. We have no idea from where, who they are. We know nothing about them, and I’ll tell you, many of them are bad. Many of them are among the worst in the world.",-0.8225
Trump,Economy,-0.5719,FALSE,"(01:18)
Under the Harris-Biden regime, your government imported murderers, child predators, and serial rapists from all over the planet while weaponizing law enforcement to jail political opponents here at home. They do that, and they think it’s wonderful. It’s like a third world country, only they loot the economy. They give trillions and trillions of dollars to their left-wing cronies while you pay the cost of rampant inflation, which is what’s happened, rampant inflation, bad energy policy, and just pouring out money like it was water.",-0.5719
Trump,Economy,-0.8573,FALSE,"(01:54)
They run your country for their own power and profit while erasing your borders, assaulting your freedom, indoctrinating your children, and selling your jobs to China, Mexico, and all of these other foreign lands. But with your vote this election, their lying, cheating, thieving, hoaxing, and plotting will come to an end. It’s going to come to an end.",-0.8573
Trump,None,0.296,FALSE,"(02:19)
We’re going to cast out the corrupt political class. We’re going to restore our republic. We are going to drain the swamp, and we’re going to do it once and for all. We’re going to get it done.",0.296
Trump,None,-0.9549,FALSE,"(02:42)
Thank you very much. Here are nine steps I’ll take very quickly to break the grip of this rogue regime. This is the worst president and vice president in the history of our country. There’s never been anybody that’s done the damage of these people. I used to say, and I haven’t said it in a while, if you took the 10 worst presidents in the history of the country, and let’s include vice president because she’s worse than he is because she’s actually a believer. He wasn’t. But if you took the 10 worst, they haven’t done the damage that this one administration has done to our country.",-0.9549
Trump,Opposing Candidate,-0.7096,FALSE,"(03:21)
First, I will end forever the weaponization of government and the abuse of law enforcement against political opponents. Under Comrade Kamala, Christians and pro-life activists are rotting in prison for the crime of praying in public. How about the people they’re arresting because they were praying in public? These people are sick. People like Steve Bannon and Peter Navarro, good people, were locked up for following the advice of their lawyers.",-0.7096
Trump,Opposing Candidate,-0.6987,FALSE,"(03:52)
As everyone knows, the Harris-Biden DOJ is trying to throw me in jail. They want me in jail for the crime of exposing their corruption. We expose their corruption. They go after the people that expose, not the people that do the corruption. The big news this week was that the Manhattan DA witch hunt against me has been postponed because everyone realizes that there’s no case because I did nothing wrong, did nothing wrong. Political witch hunt.",-0.6987
Trump,Opposing Candidate,-0.644,FALSE,"(04:25)
It’s a political attack against me by Comrade Kamala Harris and Sleepy Joe and other radical left opponents for the purpose of election interference. This is all it is. My whole life I never had anything. Now, all of a sudden, I got so many cases. Who’s indicting me today? Does anybody have any? “Well, sir, you challenged the election. We think you should be under indictment.” We challenged the corrupt election. We were right about that.",-0.644
Trump,None,0.5179,FALSE,"(04:54)
It’s a case that should never have been brought, and they postponed it. Nothing like this has ever happened in the United States before. It’s strictly third-world, banana-republic stuff. That’s what it is. But importantly, the public understands this. That’s why we have such a crowd today. This is a big crowd. They were trying to say that she gets big crowds. Number one, she doesn’t. Number two, she buses the people in. You see the buses. There’s nobody bused in. I’m sorry to tell you. We bused in nobody.",0.5179
Trump,Criminal Justice,0.9102,FALSE,"(05:30)
We have some people from North Carolina. I think it’s number … What is it? Those beautiful ladies from North Carolina are here again without their husbands, never have their husbands. Those poor husbands. What is this? 249 or something? 249 and we love them. We’re doing well in North Carolina. We left yesterday. We just got the endorsement of the biggest police group in the country and 380, 000 police. I said, “How many police does our country have?” But it’s 380,000 endorsed me yesterday in North Carolina, your home state, and I just want to thank them.",0.9102
Trump,None,0.9866,FALSE,"(06:13)
This is like number 250, and I never see their husbands. They’re all happily married, but I never see their husbands. So I don’t know what the hell is going on. They’re beautiful, and they’re always perfectly coiffed. That means they have money. Thank you very much. Thank you very much. We appreciate it. It’s great. we always have front-row Joes over here. Look at these people.Whoa. It’s a lot of front-row Joes. They’ve been here for four days. Thank you very much. Thank you.",0.9866
Trump,None,0.9097,FALSE,"(06:41)
The spirit we have is greater than ever before. We did great in 2016. We did better in 2020, but you’re not allowed to say that because if you say that, they go after you. We did better by millions and millions of votes, but neither one of them compared to what’s happening now. We’ve never seen the enthusiasm and the love that we have now. This has really been incredible. If I didn’t think we did well last time, I wouldn’t have done this because it’s a little tough life. It’s not the easiest.",0.9097
Trump,None,0.9517,FALSE,"(07:14)
You get shot at. Other things happen. Other routine events happen. But we’re going to do it for one reason. I wouldn’t have changed it. They asked me just a little while ago. A reporter said, “Sir, if you had to do it again, would you do it again?” I said, “Absolutely, because we’re going to make America great again, and that’s better than my life.” These guys know. We know. They know. Thank you. Thank you very much.",0.9517
Trump,None,-0.5478,FALSE,"(07:59)
What an incredible crowd. Nobody’s ever had crowds like this, nobody ever. The fake news knows it. That’s a lot of fake news back there. That’s a lot of fake news. The public understands this, and so does every legal scholar, expert, luminary, including people like Andy McCarthy, Jonathan Turley, Alan Dershowitz, Mark Levin, Steven Calabrese, David Rifkin, Greg Jarrett, Katie and Andrew Cherkasky. Elie Honig of CNN even knows it.",-0.5478
Trump,None,0.0379,FALSE,"(08:39)
They’ve said very powerfully that this is a case that should have never been brought. It’s an embarrassment. Every legal scholar of note has said this stuff shouldn’t be happening. It’s a weaponization of government. I greatly appreciate the words, if necessary. They also said the decision will be postponed, if necessary. First of all, there is no if necessary. We did nothing wrong. We’re never going to let them do this. Somebody else wouldn’t have taken it.",0.0379
